"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Trofin R.-A.","Trofin, Roxana-Anca (57205408809)","57205408809","The role of digital and text generation software in the development of textual creativity; [Le rôle du numérique et des logiciels de génération de textes dans le développement de la créativité textuelle]; [El papel de la digitalización y de los softwares de generación de texto en el desarrollo de la creatividad textual]","2023","Synergies Espagne","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179164022&partnerID=40&md5=f04998230119ce377d49e091fcf6e117","French","Article","Scopus"
"Paravicino F.C.O.; Calcina J.D.C.; Núñez F.M.H.; Condori E.E.M.","Paravicino, Félix Cristóbal Ochatoma (58109586200); Calcina, José Domingo Choquehuanca (58109586100); Núñez, Flor de María Humpiri (58109586300); Condori, Eddy Erik Mamani (58109127100)","58109586200; 58109586100; 58109586300; 58109127100","DIGITALIZATION OF PUBLIC CRIMINAL HEARINGS IN PERU DURING THE PANDEMIC: VIOLATION OF THE IMMEDIATE PRINCIPLE?; [DIGITALIZACIÓN DE LAS AUDIENCIAS PÚBLICAS PENALES EN PERÚ DURANTE LA PANDEMIA: ¿VULNERACIÓN AL PRINCIPIO DE INMEDIACIÓN?]","2023","Universidad y Sociedad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160054588&partnerID=40&md5=d1ea0195d97e57a20e16c430d765b314","Spanish","Article","Scopus"
"Kerikmäe T.; Troitiño D.R.","Kerikmäe, Tanel (55940410600); Troitiño, David Ramiro (56901278200)","55940410600; 56901278200","Introduction. The digitalisation of the European Union: repercussions and expectations; [Introducción. Digitalización de la Unión Europea: repercusiones y expectativas]","2022","Revista CIDOB d'Afers Internacionals","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139296002&doi=10.24241%2frcai.2022.131.2.7&partnerID=40&md5=1ced3b433c2868cf3ccf716b65393774","English","Article","Scopus"
"","","","3rd Spanish Smart Roads Congress. Keys to the digitalization of highways and urban roads; [Claves para la digitalizacion de carreteras y vias urbanasa]","2023","Carreteras","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193645825&partnerID=40&md5=3dae6433e5e742be57815aa03b14b8ed","Spanish","Note","Scopus"
"Aguilar O.G.; Socorro Hernández R.C.","Aguilar, Oscar Guevara (57219776998); Socorro Hernández, Rafael C. (57219780712)","57219776998; 57219780712","Challenges for efficient digitization; [Retos para una digitalización eficiente]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095422815&partnerID=40&md5=2e76e11461629cac9887e7855510595d","Spanish","Article","Scopus"
"Bonomo-Odizzio A.; Krauss-Delorme C.; Borrero-Molina A.","Bonomo-Odizzio, Adriana (57223914402); Krauss-Delorme, Catherine (57208205991); Borrero-Molina, Armando (58757898900)","57223914402; 57208205991; 58757898900","Digitalization of SMEs in Mercosur: the case of Argentina and Uruguay; [Digitalización de Pymes en el Mercosur: el caso de Argentina y Uruguay*]","2023","Brazilian Journal of International Law","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179410017&doi=10.5102%2frdi.v20i2.9112&partnerID=40&md5=53a01be7321befab96743f235b05f97f","Spanish","Article","Scopus"
"Álvarez M.-Á.M.","Álvarez, Miguel-Ángel Michinel (58158287400)","58158287400","The CJEU and the International Private Law. Facing the digitalization of goods and services; [El TJUE y el Derecho internacional privado. Ante la digitalización de bienes y servicios]","2023","Cuadernos de Derecho Transnacional","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150951102&doi=10.20318%2fcdt.2023.7554&partnerID=40&md5=c5a706ca08da038f3640fedf9f76d400","Spanish","Article","Scopus"
"González V.L.","González, Virgilio L. (23476961500)","23476961500","Juki: Multifunctional digitalization of sewing machines; [Juki: Digitalización Multifuncional de Máquinas de Coser]","2020","Textiles Panamericanos","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092703878&partnerID=40&md5=c8f6a24265a5ac728126c1f41e56f64f","Spanish","Article","Scopus"
"López Lorca B.","López Lorca, Beatriz (57190740039)","57190740039","The digitization of prisons and the use of artificial intelligence. State-of-the-art markers for the normalization of the prison environment and the redefinition of the resocialization process; [La digitalización de las prisiones y el uso de la inteligencia artificial. Marcadores de última generación para la normalización del entorno penitenciario y la redefinición del proceso de resocialización]","2023","Revista de Internet, Derecho y Politica","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179045316&doi=10.7238%2fIDP.V0I39.416671&partnerID=40&md5=946ad6d0f7c7c3fcc8c9ada9a8965dd9","Spanish","Article","Scopus"
"","","","Jeanologia bets on handmade denim; [Jeanologia Apuesta por Denim Artesanal]","2023","Textiles Panamericanos","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160936189&partnerID=40&md5=1b9f1872ad22df8380169c18dbe6b0b6","Spanish","Article","Scopus"
"de Rojas P.Í.","de Rojas, Paula de Íscar (58772927900)","58772927900","Digitalization of the corporate activity of cooperatives and labor societies; [DIGITALIZACIÓN DE LA ACTIVIDAD SOCIETARIA DE COOPERATIVAS Y SOCIEDADES LABORALES ROSALÍA ALFONSO SÁNCHEZ Y MARÍA DEL MAR ANDREU MARTÍ (DIRECTORAS) (THOMSON REUTERS ARANZADI, 2021)]","2022","CIRIEC-Espana, Revista Juridica de Economia Social y Cooperativa","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180198543&partnerID=40&md5=93a09dc3d41edd5110277305824cc551","Spanish","Article","Scopus"
"Oriol J.M.; Delgado E.C.","Oriol, Jordi Martin (58565900400); Delgado, Eduard Cabrera (58565727800)","58565900400; 58565727800","THE DIGITIZATION OF THE TRAMWAY INFRASTRUCTURE OF THE BARCELONA METROPOLITAN AREA; [LA DIGITALIZACIÓN DE LA INFRAESTRUCTURA TRANVIARIA DEL ÁREA METROPOLITANA DE BARCELONA]","2023","GeoFocus","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170105597&doi=10.21138%2fGF.818&partnerID=40&md5=fc818f2c15ad626c253398b2b8c4592e","Spanish","Article","Scopus"
"Tellado-Laraudogoitia N.; Lasarte N.; Macías O.; Iturralde K.; Bock T.; Sebesi Y.","Tellado-Laraudogoitia, Nagore (57217312227); Lasarte, Natalia (57204041255); Macías, Olga (57204034709); Iturralde, Kepa (56021677400); Bock, Thomas (55189578000); Sebesi, Yvon (57215127547)","57217312227; 57204041255; 57204034709; 56021677400; 55189578000; 57215127547","Solutions for digitisation and prefabrication in the energy refurbishment of buildings; [Soluciones para la digitalización y la prefabricación en la rehabilitación energética de edificios]","2020","Dyna (Spain)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087045781&doi=10.6036%2f9280&partnerID=40&md5=65b181fd1a5724b0d2a3b808d00c8037","Spanish","Article","Scopus"
"Bini S.","Bini, Stefano (58287691100)","58287691100","Digitalisation, information, democratisation; [Digitalización, información, democratización]","2022","Revista del Ministerio de Trabajo y Economia Social","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196676736&doi=10.55617%2frevmites.33&partnerID=40&md5=726f0d6e7b076e4a04af2cf84f2c1736","Spanish","Article","Scopus"
"Selfa Sastre M.","Selfa Sastre, Moisés (57786860800)","57786860800","Creativity and digitization of poems for learning to read and write: design and analysis in the initial training of teachers; [Creatividad y digitalización de poemas para el aprendizaje de la lectoescritura: diseño, implementación y análisis en la formación inicial de maestros]","2022","Revista Interuniversitaria de Formacion del Profesorado","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145005328&doi=10.47553%2frifop.v97i36.3.96199&partnerID=40&md5=bf765a33e13f6c55aebbddcfb6af954c","Spanish","Article","Scopus"
"Moreno C.C.; Lescure J.","Moreno, Carlos Cancio (57226278649); Lescure, Javier (57218143030)","57226278649; 57218143030","Digitalización de las cabezas momificadas del museo de arqueología y etnología de américa de la universidad complutense de Madrid","2021","Revista Espanola de Antropologia Americana","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111040837&doi=10.5209%2freaa.69878&partnerID=40&md5=84509bd1d3d33757583431da965479e0","Spanish","Note","Scopus"
"La Fuente R.P.; Gehler A.; Farnum C.W.; Farrell B.D.","La Fuente, Ricardo Pérez-De (35099098300); Gehler, Alexander (36918189200); Farnum, Charles W. (56306413100); Farrell, Brian D. (57201695288)","35099098300; 36918189200; 56306413100; 57201695288","Digitisation as a tool to promote transparency between collections: The case of the baltic amber from the Königsberg collection at the Museum of Comparative Zoology; [La digitalización  como una herramienta para promover la transparencia entre colecciones: el ámbar del Báltico de la Colección Königsberg del Museo de Zoología Comparativa]","2019","Spanish Journal of Palaeontology","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090812071&doi=10.7203%2fsjp.34.1.15241&partnerID=40&md5=da9f30d9309bc80416ed13c46d5b6245","English","Article","Scopus"
"Rodríguez Ortega M.; Ortega Latorre Y.; Valencia Rodríguez C.; Huerta Cebrián P.; Montano Navarro E.; Brígido Fernández I.","Rodríguez Ortega, María (14523339200); Ortega Latorre, Yolanda (57204268842); Valencia Rodríguez, Carlos (57224353794); Huerta Cebrián, Paloma (6701695925); Montano Navarro, Enrique (24481725700); Brígido Fernández, Isabel (57224351565)","14523339200; 57204268842; 57224353794; 6701695925; 24481725700; 57224351565","Animal dissection and digitization, alternative for teaching anatomy when cadaver dissection is not possible; [Disección animal y digitalización, alternativa para la enseñanza de anatomía cuando la disección de cadáveres no es posible]","2021","Educacion Medica","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107405766&doi=10.1016%2fj.edumed.2021.03.006&partnerID=40&md5=b670691e539a3ecc7909bb29b8b107bb","English","Article","Scopus"
"Melgar N.; De María N.","Melgar, Natalia (35737828700); De María, Natalia (58645421400)","35737828700; 58645421400","Digitalization in Mercosur trade facilitation: The case of the Single Window of Foreign Trade in Uruguay countries; [Digitalização na facilitação comercial do Mercosul: o caso da janela única para o comércio exterior no Uruguai]; [La digitalización en la facilitación del comercio del Mercosur: el caso de la ventanilla única de comercio exterior en Uruguaycountries*]","2023","Brazilian Journal of International Law","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179402601&doi=10.5102%2frdi.v20i2.9114&partnerID=40&md5=88255434467c93d03e7d2b58a58621d9","Spanish","Article","Scopus"
"Wili D.L.C.C.K.; Smith H.A.G.; Gabriela M.G.L.; Virginia C.H.; Jonatan G.Z.E.; Jesús D.B.M.P.; Eloy S.A.S.","Wili, De La Cruz Cortegana Kevin (58929856500); Smith, Huamán Almonacid Genrry (58929330100); Gabriela, Maurtua Gurmendi Luzmila (58929675300); Virginia, Criollo Hidalgo (57931027300); Jonatan, García Zare Elmis (58618802900); Jesús, De Bracamonte Morales Pedro (58500375900); Eloy, Soto Abanto Segundo (58929330300)","58929856500; 58929330100; 58929675300; 57931027300; 58618802900; 58500375900; 58929330300","Banking digitization: an alternative to optimize the operational processes of a financial institution; [Digitalización bancaria: alternativa para optimizar los procesos operativos de una institución financiera]","2023","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187310236&doi=10.18687%2fLEIRD2023.1.1.239&partnerID=40&md5=faacf0401fa8a3383491929122dba2f6","Spanish","Conference paper","Scopus"
"Casco R.J.E.; Castañeda D.Y.; Lucar R.G.C.; Jibaja L.C.; Quesada T.Q.; Zarat-Suarez J.S.","Casco, Roque Juan Espinoza (58560119200); Castañeda, Doris Yaya (58504385500); Lucar, Rudy Gonzalo Chura (58499243000); Jibaja, Leonardo Castilla (58866873100); Quesada, Tania Quiroz (58515845900); Zarat-Suarez, Julio Samuel (58866430800)","58560119200; 58504385500; 58499243000; 58866873100; 58515845900; 58866430800","The experience of the Peruvian customs digitalization process; [La experiencia de los procesos de digitalización de la aduana peruana]","2022","Salud, Ciencia y Tecnologia - Serie de Conferencias","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184211925&doi=10.56294%2fsctconf2022258&partnerID=40&md5=f70226ded098f64685c80ef086640569","Spanish","Article","Scopus"
"Espejo B.; Herrero L.L.; López G.Á.","Espejo, Belén (58862184100); Herrero, Luján Lázaro (57208691099); López, Gabriel Álvarez (57210842999)","58862184100; 57208691099; 57210842999","Educational Digitization and Mobile Learning: Trends in The Political Narratives of International Organizations; [Digitalización educativa y aprendizaje móvil: tendencias en las narrativas políticas de los Organismos Internacionales]","2023","Foro de Educacion","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184019193&doi=10.14516%2ffde.1025&partnerID=40&md5=bbe7c7a62b47013632569a0b21b78c09","Spanish","Article","Scopus"
"Heiming M.","Heiming, Monika (57242879700)","57242879700","Monika Heiming: ""The challenges of the railway are digitalization and ensuring interoperability""; [""Los retos del ferrocarril son la digitalización y garantizar la interoperabilidad""]","2021","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114085333&partnerID=40&md5=5237b4ec6089a693ec4ca7c24d0c089a","Spanish","Review","Scopus"
"Maliar D.V.; Ivashyna O.F.; Ivashyna S.Yu.; Arkhireska N.V.; Matvijchuk I.O.","Maliar, Dmytro V. (57226267799); Ivashyna, Oleksandr F. (57226279265); Ivashyna, Svitlana Yu. (57226287493); Arkhireska, Natalia V. (57226277285); Matvijchuk, Iryna O. (57214079906)","57226267799; 57226279265; 57226287493; 57226277285; 57214079906","Four waves of digitalisation of the economic system in the EU Countries and Ukraine; [Cuatro Olas de Digitalización del Sistema Económico en los Países de la UE y Ucrania]","2021","Estudios de Economia Aplicada","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111030860&doi=10.25115%2feea.v39i6.5244&partnerID=40&md5=5e96b5b593a1a47c462b35bc082b1d74","English","Article","Scopus"
"Imawan K.; Ahimsa-Putra H.S.; Simatupang L.L.G.R.","Imawan, Khaerudin (58558324300); Ahimsa-Putra, Heddy Shri (56286472000); Simatupang, Lono Lastoro G.R. (58558210800)","58558324300; 56286472000; 58558210800","Tarling Music Industry Ecosystem in The Digitalization Arena; [Ecosistema de la industria musical de Tarling en el campo de la digitalización]","2023","Sociologia y Tecnociencia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169469035&doi=10.24197%2fst.2.2023.24-48&partnerID=40&md5=ed84354a1a66197334274ddd90cf676a","English","Article","Scopus"
"Chinea L.M.M.","Chinea, Laura María Melián (57221842150)","57221842150","Diálogo social europeo y digitalización","2022","Trabajo y Derecho","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165945490&partnerID=40&md5=55ae326412839cf85f717479599d8e4b","Spanish","Article","Scopus"
"Martin A.","Martin, Alan (57195105897)","57195105897","Byung-Chul han. Infocracia: la digitalización y la crisis de la democracia. Traducido por Joaquín Chamorro. Santiago: Taurus, 2022, 103 páginas.","2022","Revista de Filosofia (Chile)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153795114&doi=10.4067%2fS0718-43602022000100209&partnerID=40&md5=8fa5752797b07027715e909290a76d8f","Spanish","Review","Scopus"
"Rodríguez J.M.D.","Rodríguez, Juan Miguel Díaz (57204063260)","57204063260","La digitalización laboral y el control de los trabajadores, incluso mediante detectives","2020","Trabajo y Derecho","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126854095&partnerID=40&md5=4d59fcd85afcf7ec50193c23f82796b6","Spanish","Article","Scopus"
"Pérez H.N.","Pérez, Hugo Neves (58762639300)","58762639300","Chul Han, B. (2022): Infocracy: digitization and the crisis of democracy, Berlín, Taurus, 112 pp.; [Chul Han, B. (2022): Infocracia: la digitalización y la crisis de la democracia, Berlín, Taurus, 112 pp.]","2023","Politica y Sociedad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185574048&doi=10.5209%2fposo.88546&partnerID=40&md5=50d059690c375b07d7d1b210d30344f9","Spanish","Review","Scopus"
"Bouhaben M.A.","Bouhaben, Miguel Alfonso (56584400000)","56584400000","The digitization of the protest. Image-simultaneity, image-continuity, and image-memory in the National Strike of Ecuador; [A digitalização do protesto. Imagem-simultânea, imagem-continuidade e imagem-memória na Greve Nacional do Equador]; [La digitalización de la protesta. Imagen-simultaneidad, imagen-continuidad e imagen-memoria en el Paro Nacional del Ecuador]","2022","Icono14","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148628008&doi=10.7195%2fri14.v20i2.1805&partnerID=40&md5=db6a94689fa7cb24e2071d78f26a1582","Spanish","Article","Scopus"
"Rondón-Aquino V.; Reategui-Jauregui T.T.A.; Olórtegui-Alcalde L.M.; Bernia-León W.C.; Vargas-Merino J.A.","Rondón-Aquino, Valeria (58619872600); Reategui-Jauregui, Thais Tiany Andrea (58618575200); Olórtegui-Alcalde, Luis Miguel (58029277900); Bernia-León, Walter Christian (58618575300); Vargas-Merino, Jorge Alberto (57223959208)","58619872600; 58618575200; 58029277900; 58618575300; 57223959208","Digitalization and customer acquisition in companies in Latin America. A systematic review of the literature 2013-2023; [Digitalización y captación de clientes en empresas a nivel Latinoamérica. Una revisión sistemática de la literatura 2013-2023]","2023","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172325992&partnerID=40&md5=2d6ba45fed9f2c071612ffa9c482e7b1","Spanish","Conference paper","Scopus"
"Dávila-Morán R.C.; Camargo L.A.V.; Infantes M.S.; Moscoso D.M.P.; Franco A.C.M.","Dávila-Morán, Roberto Carlos (57224890890); Camargo, Luis Antonio Visurraga (58110977100); Infantes, Manuel Silva (57992145700); Moscoso, Dolly Maricela Pimentel (58110754200); Franco, Abdón Casiano Maita (58110754300)","57224890890; 58110977100; 57992145700; 58110754200; 58110754300","DIGITIZATION OF ENTERPRISES IN THE TIME OF COVID-19 IN STUDENTS OF A PRIVATE UNIVERSITY IN CUSCO; [DIGITALIZACIÓN DE EMPRENDIMIENTOS EN ÉPOCA DE COVID-19 EN ESTUDIANTES DE UNA UNIVERSIDAD PRIVADA DE CUSCO]","2023","Universidad y Sociedad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148505336&partnerID=40&md5=abe3fd47cec5249175ecac3eaa8b1d8c","Spanish","Article","Scopus"
"Ordieres Meré J.; Ortega Mier M.; Morales Alonso G.; Grijalvo Martin M.","Ordieres Meré, Joaquín (57196075244); Ortega Mier, Miguel (15127795900); Morales Alonso, Gustavo (49861813900); Grijalvo Martin, Mercedes (23990676000)","57196075244; 15127795900; 49861813900; 23990676000","DIGITALIZATION CHALLENGES FOR INDUSTRIAL MANAGEMENT EDUCATION IN EUROPE; [RETOS QUE LA DIGITALIZACIÓN INDUCE EN LA EDUCACIÓN EUROPEA SOBRE GESTIÓN INDUSTRIAL]","2020","Proceedings from the International Congress on Project Management and Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150736835&partnerID=40&md5=86a1a811dce5dd77cbd6cbdda1cab92b","Spanish","Conference paper","Scopus"
"","","","Digitization in engineering: Infrastructure and services; [Digitalización en la ingeniería: Infraestructuras y servicios]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095453990&partnerID=40&md5=3884dfb6cad2786bb4f6bab44da7cbf7","Spanish","Article","Scopus"
"Gallardo L.; García-Unanue J.","Gallardo, Leonor (25936144300); García-Unanue, Jorge (55340222400)","25936144300; 55340222400","Digitization, tools and digital skills within the context of the sports industry; [Digitalización, herramientas y competencias digitales en el marco de la industria del deporte]","2023","Cuadernos Economicos de ICE","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191683830&doi=10.32796%2fcice.2023.106.7696&partnerID=40&md5=51c3a189e6ae536161599dbc1e423448","Spanish","Article","Scopus"
"Cerrillo I Martínez A.","Cerrillo I Martínez, Agustí (36835144500)","36835144500","Digitization in intermediate local governments and the contribution to the Recovery, Transformation and Resilience Plan; [La digitalización en los Gobiernos locales intermedios y la contribución al Plan de Recuperación, Transformación y Resiliencia]","2022","Cuadernos de Derecho Local","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160646955&partnerID=40&md5=340798e80216cefe6a01cea945a0b146","Spanish","Article","Scopus"
"Cruces J.P.","Cruces, Juan Pablo (58523700100)","58523700100","IMMERSIVITY, DIGITALIZATION AND POLARIZATION: ELEMENTS RECONDITIONING THE CONTEMPORARY STAGE; [INMERSIVIDAD, DIGITALIZACIÓN Y POLARIZACIÓN: ELEMENTOS QUE REACONDICIONAN LA ESCENA CONTEMPORÁNEA]","2023","Acotaciones","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166750531&doi=10.32621%2fACOTACIONES.2022.50.05&partnerID=40&md5=9d0a484e42591f029cd0e7f106bc788e","Spanish","Article","Scopus"
"Rando Burgos E.","Rando Burgos, Esther (57202859970)","57202859970","NEW CHALLENGES IN THE 21ST CENTURY ADMINISTRATION: DIGITALISATION, ARTIFICIAL INTELLIGENCE AND ADMINISTRATIVE TRANSFORMATION; [NUEVOS RETOS EN LA ADMINISTRACIÓN DEL SIGLO XXI: DIGITALIZACIÓN, INTELIGENCIA ARTIFICIAL Y TRANSFORMACIÓN ADMINISTRATIVA]","2023","Revista General de Derecho Administrativo","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175268455&partnerID=40&md5=f32615239188102b2e318b82f280cb96","Spanish","Article","Scopus"
"Frezzia S.A.; Zucol A.F.","Frezzia, Sebastián Ariel (57314871400); Zucol, Alejandro Fabián (6602970719)","57314871400; 6602970719","METHODOLOGY AND ANALYSIS IN THE DIGITIZATION OF MICROSCOPIC BODIES: APPLICATION TO PHYTOLITHIC STUDIES; [Metodología y análisis en la digitalización de cuerpos microscópicos: su aplicación a los estudios fitolíticos]","2023","Publicacion Electronica de la Asociacion Paleontologica Argentina","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171573581&doi=10.5710%2fPEAPA.25.08.2023.475&partnerID=40&md5=2a674dab08246df22c681c01e35cc7de","Spanish","Article","Scopus"
"Fajardo-Toro C.H.; Riola J.M.","Fajardo-Toro, Carlos Hernán (57215501173); Riola, José María (8858280500)","57215501173; 8858280500","Digitization and Industry 4.0, key factors for value proposition in the defense sector; [La digitalización y la industria 4.0, factores fundamentales para una propuesta de valor en el sector defensa]","2021","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124406325&partnerID=40&md5=17c75a6a3da812c08cd54802f88942be","Spanish","Editorial","Scopus"
"Gaiani M.; Apollonio F.I.; Fantini F.","Gaiani, Marco (6508103706); Apollonio, Fabrizio Ivan (54995584500); Fantini, Filippo (56478405100)","6508103706; 54995584500; 56478405100","A comprehensive smart methodology for museum collection digitization; [UNA METODOLOGÍA INTELIGENTE PARA LA DIGITALIZACIÓN DE COLECCIÓNES MUSEÍSTICAS]","2020","EGA Revista de Expresion Grafica Arquitectonica","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081950199&doi=10.4995%2fega.2020.12281&partnerID=40&md5=d9a2c525b8b082d551a4c33110bc03d8","English","Review","Scopus"
"Orozco H.; Godoy D.; Lopera C.P.; Villalobos E.R.A.","Orozco, Hernán (57205230429); Godoy, Daniela (58384189200); Lopera, Carolina Páramo (57219265430); Villalobos, Erwin Robert Aguirre (58492209900)","57205230429; 58384189200; 57219265430; 58492209900","Opportunities and new challenges in the digitization of citizen participation in Urban Projects, in Chile and Colombia; [Oportunidades y nuevos retos de la digitalización de la participación ciudadana en proyectos urbanos, en Chile y Colombia]","2023","Revista de Urbanismo","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165018738&doi=10.5354%2f0717-5051.2023.66962&partnerID=40&md5=a187fae81117f824f7d643ab4d483405","Spanish","Article","Scopus"
"Hernández-Muñoz Ó.; Moga E.S.; Sánchez-Ortiz A.","Hernández-Muñoz, Óscar (57193615913); Moga, Emanuel Sterp (57217217027); Sánchez-Ortiz, Alicia (57225249539)","57193615913; 57217217027; 57225249539","Estrategias innovadoras mediante escáner de luz estructurada para la digitalización en situaciones complejas de modelos anatómicos didácticos; [Estratégias inovadoras mediante um scanner de luz estruturada para digitalização em situações complexas de modelos anatómicos didáticos]; [Innovative strategies for digitisation in complex situations of didactic anatomical models using structured light scanning]","2023","Ge-Conservacion","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162998005&doi=10.37558%2fgec.v23i1.1110&partnerID=40&md5=c123fa629bdcb05165016c92a20efb06","English","Article","Scopus"
"Doria N.M.; Silva S.C.D.","Doria, Nathan Magalhães (59008379600); Silva, Silvana Cristina da (57214166915)","59008379600; 57214166915","Digitalization and urban mobility in a non-metropolitan city: uberization in Campos dos Goytacazes/RJ; [Digitalização e mobilidade urbana em uma cidade não metropolitana: a uberização em Campos dos Goytacazes/RJ]; [Digitalización y movilidad urbana en una ciudad no metropolitana: uberización en Campos dos Goytacazes/RJ]","2023","Atelie Geografico","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191691464&doi=10.5216%2fag.v17i2.76652&partnerID=40&md5=1e5dddd5e2bccb8ea94378a4011978d7","Portuguese","Article","Scopus"
"Esteban Rios J.","Esteban Rios, Javier (57220129448)","57220129448","Protecting those excluded by financial digitalisation: From voluntariness to public service obligations; [LA PROTECCIÓN DE LOS EXCLUIDOS POR LA DIGITALIZACIÓN FINANCIERA: DE LA VOLUNTARIEDAD A LAS OBLIGACIONES DE SERVICIO PÚBLICO]","2023","P.A. Persona e Amministrazione","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185252385&partnerID=40&md5=24661d5cd25456da670cfe8658e34acf","Spanish","Article","Scopus"
"Hernández-Muñoz Ó.; Sterp Moga E.; Sánchez-Ortiz A.","Hernández-Muñoz, Óscar (57193615913); Sterp Moga, Emanuel (57217217027); Sánchez-Ortiz, Alicia (57225249539)","57193615913; 57217217027; 57225249539","Analysing two techniques for the digitisation of historical collections of anatomical models Photogrammetry from burst photography and videogrammetry; [ANÁLISIS DE DOS TÉCNICAS PARA LA DIGITALIZACIÓN DE COLECCIONES HISTÓRICAS DE MODELOS ANATÓMICOS Fotogrametría a partir de ráfagas de fotografías y videogrametría]","2023","Human Review. International Humanities Review / Revista Internacional de Humanidades","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149322700&doi=10.37467%2frevhuman.v12.4762&partnerID=40&md5=3f6b3d5960290a98e0fe718bf8049c0d","Spanish","Article","Scopus"
"Perdomo M.E.; León M.O.; Torres A.M.; Amador M.; Hernández J.M.M.","Perdomo, Maria Elena (57217054937); León, Margie Ortega (58154563900); Torres, Alfredo Muñoz (58154707600); Amador, Maria (58153979400); Hernández, Jaime Manuel Mora (58154262000)","57217054937; 58154563900; 58154707600; 58153979400; 58154262000","Study Case: Profitability for the digitization of grocery stores in Santa Barbara, Honduras; [Caso de Estudio: Rentabilidad por la digitalización de Supermercados en Santa Bárbara, Honduras]","2022","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150699771&doi=10.18687%2fLEIRD2022.1.1.207&partnerID=40&md5=2f777c6aea07f5fa88aa803f63a6843e","Spanish","Conference paper","Scopus"
"Vila-Viñas D.","Vila-Viñas, David (57221309569)","57221309569","Effects of digitization on legal reasoning: a post-focaultian approximation; [Efectos de la digitalización sobre el razonamiento jurídico: una aproximación postfoucaultiana]","2023","Revista de Internet, Derecho y Politica","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179044554&doi=10.7238%2fIDP.V0I39.416197&partnerID=40&md5=b1298c852680d6740750b10259cdfd68","Spanish","Article","Scopus"
